CAMIS,YEAR,SCORE,SCORE CHANGE
40370150,2013.5,11.25,6.0
40370167,2013.0,9.0,3.0
40370168,2013.0,11.6666666667,-1.0
40370238,2013.5,18.75,-18.0
40370239,2013.5,9.375,-3.0
40370243,2014.0,8.0,2.0
40370342,2013.5,12.0,0.0
40370356,2013.0,11.0,2.0
40370425,2012.5,13.125,8.0
40370436,2013.5,16.5,-12.0
40370463,2013.66666667,10.4444444444,-1.0
40370497,2013.0,11.0,2.0
40370507,2012.5,15.875,-12.0
40370519,2012.5,9.375,2.0
40370638,2013.0,11.8333333333,0.0
40370759,2013.5,18.75,13.0
40370766,2013.5,10.125,-2.0
40370781,2013.5,12.75,0.0
40370856,2013.5,6.75,-1.0
40370910,2013.0,10.6666666667,1.0
40370916,2013.66666667,14.8333333333,-6.0
40370917,2013.0,9.83333333333,3.0
40370935,2013.0,11.3333333333,-4.0
40370939,2012.5,12.0,1.0
40370946,2013.5,15.75,1.0
40370994,2013.0,11.1111111111,0.0
40371281,2012.5,11.375,-1.0
40371313,2013.0,6.16666666667,0.0
40371323,2013.66666667,9.33333333333,11.0
40371419,2012.5,21.125,-2.0
40371454,2013.5,7.75,12.0
40371588,2013.0,10.3333333333,-1.0
40371614,2013.5,12.25,1.0
40371684,2012.5,10.625,-1.0
40371718,2013.5,6.5,1.0
40371727,2013.5,14.625,-7.0
40371771,2012.66666667,14.1666666667,-18.0
40371805,2012.5,11.75,-4.0
40371807,2014.0,9.0,0.0
40371906,2013.5,9.25,9.0
40371988,2013.5,14.875,1.0
40372112,2013.0,10.0,0.0
40372196,2013.0,8.0,-4.0
40372258,2013.0,8.33333333333,-5.0
40372262,2013.5,10.5,-1.0
40372357,2012.5,15.0,29.0
40372417,2013.5,9.75,1.0
40372422,2013.5,9.0,-6.0
40372426,2013.5,12.375,6.0
40372433,2012.33333333,12.1666666667,0.0
40372445,2012.66666667,10.7777777778,-5.0
40372466,2013.5,28.25,-2.0
40372485,2013.66666667,8.33333333333,-1.0
40372523,2012.5,8.0,5.0
40372596,2013.5,8.25,8.0
40372618,2013.5,11.75,2.0
40372631,2013.5,9.16666666667,0.0
40372694,2013.5,10.25,2.0
40372787,2012.5,11.125,-2.0
40372831,2013.0,11.0,1.0
40372944,2013.5,12.125,16.0
40372971,2013.5,8.5,-8.0
40372999,2013.5,13.25,10.0
40373113,2014.0,9.0,-3.0
40373118,2013.33333333,13.0,18.0
40373149,2013.0,17.5,-2.0
40373160,2012.33333333,7.0,6.0
40373272,2012.5,9.5,4.0
40373318,2012.5,13.0,-7.0
40373462,2012.66666667,7.66666666667,5.0
40373500,2013.0,9.66666666667,3.0
40373597,2013.0,11.6666666667,-6.0
40373656,2013.5,13.5,-6.0
40373669,2013.0,9.33333333333,4.0
40373794,2013.0,7.0,-3.0
40373888,2013.5,9.875,3.0
40373889,2013.5,12.5,1.0
40373909,2013.5,10.625,3.0
40373912,2013.0,9.5,0.0
40373937,2013.0,11.6666666667,0.0
40373938,2013.0,11.0,18.0
40373948,2013.5,13.125,-5.0
40373984,2013.5,11.875,-2.0
40374015,2013.0,9.83333333333,-2.0
40374088,2013.5,12.25,-2.0
40374131,2013.5,12.5,1.0
40374136,2013.5,10.5,-1.0
40374192,2013.0,8.83333333333,-2.0
40374259,2013.5,19.625,-2.0
40374266,2012.5,14.875,10.0
40374268,2013.0,30.1666666667,56.0
40374277,2013.5,10.1666666667,-6.0
40374325,2014.0,13.3333333333,2.0
40374395,2013.0,8.66666666667,10.0
40374415,2013.5,13.625,15.0
40374460,2013.5,10.0,5.0
40374507,2013.5,8.0,-8.0
40374559,2012.5,9.5,-2.0
40374711,2012.5,7.5,4.0
40374814,2014.0,13.5,-10.0
40374834,2013.5,10.625,3.0
40374968,2012.5,10.1666666667,8.0
40374974,2012.5,13.5,8.0
40375108,2014.0,7.66666666667,5.0
40375136,2013.0,8.0,-10.0
40375286,2013.0,10.3333333333,-5.0
40375369,2013.5,10.0,2.0
40375371,2013.5,9.625,7.0
40375376,2012.5,16.25,18.0
40375521,2013.5,10.0,0.0
40375616,2012.5,15.75,8.0
40375634,2013.5,13.25,-1.0
40375699,2013.5,14.75,15.0
40375819,2012.5,10.9166666667,-10.0
40375839,2012.5,10.25,-2.0
40375899,2013.33333333,9.0,4.0
40375929,2013.66666667,8.33333333333,-6.0
40375972,2013.0,10.1666666667,6.0
40376029,2013.5,9.75,-1.0
40376031,2013.0,12.8333333333,7.0
40376039,2013.0,10.0,1.0
40376077,2013.0,12.0,2.0
40376121,2013.5,11.625,1.0
40376142,2013.5,7.5,6.0
40376204,2013.5,8.875,-1.0
